x	y
3.600	0.097
3.602	5.792
3.752	6.117
3.888	6.429
4.022	6.591
4.127	6.821
4.256	7.384
4.367	7.586
4.480	7.928
4.503	9.146
4.465	13.888
4.386	18.769
4.279	24.416
4.199	28.632
4.179	30.061
4.179	31.212
4.136	35.233
4.097	37.564
4.034	40.794
3.977	45.550
3.943	49.362
3.918	55.225
3.922	59.671
3.943	63.649
3.980	70.464
4.004	74.566
4.039	80.773
4.083	88.239
4.122	95.749
4.158	103.620
4.204	115.232
4.238	125.388
4.265	135.115
4.288	143.638
4.314	155.718
4.337	167.066
4.358	177.764
4.377	189.541
4.386	195.513
4.393	199.698
