x	y
3.599	0.117
3.599	5.677
3.772	6.418
3.903	6.761
4.036	7.007
4.156	7.280
4.217	7.749
4.269	7.981
4.170	9.709
4.089	10.929
4.041	12.042
3.989	12.907
3.938	13.563
3.866	14.561
3.820	15.358
3.779	16.044
3.820	18.395
3.826	21.419
3.848	26.512
3.865	29.439
3.889	32.189
3.912	35.632
3.940	38.869
3.964	41.604
3.984	44.241
4.005	46.699
4.021	48.464
4.030	51.488
4.016	54.134
3.995	56.016
3.983	57.109
3.966	59.753
3.963	62.665
3.968	66.507
3.975	70.766
3.987	74.497
3.997	78.754
4.022	84.373
4.042	87.247
4.062	90.468
4.075	92.939
4.096	96.020
4.117	99.560
4.140	103.654
4.164	108.512
4.179	111.385
4.203	116.643
4.227	123.467
4.245	128.559
4.264	135.938
4.283	143.401
4.301	150.321
4.313	156.020
4.329	163.759
4.348	173.814
4.366	183.522
4.377	191.190
4.390	199.205
