x	y
296.140	0.405
296.098	6.910
214.095	7.158
153.990	7.470
117.849	7.770
93.649	7.970
76.318	8.267
57.768	8.450
49.025	9.293
42.598	9.933
36.922	10.763
35.146	11.694
32.032	13.895
31.906	16.698
33.346	18.938
34.319	23.723
35.864	29.743
37.599	36.146
38.979	40.932
40.040	45.202
40.486	48.998
38.942	51.151
36.135	53.084
33.999	54.028
31.070	55.648
27.792	57.334
25.602	60.309
24.309	65.211
23.776	68.640
23.499	72.122
23.366	75.711
23.626	79.372
24.117	83.138
25.345	89.258
27.110	95.632
28.381	99.674
31.012	107.759
33.044	113.631
35.278	120.668
38.314	130.255
41.250	139.693
43.108	145.997
46.310	156.125
48.618	164.340
50.378	170.245
54.116	183.885
56.617	192.739
57.581	197.482
