x	y
295.431	0.563
298.345	18.415
254.972	18.933
195.479	20.053
142.186	21.644
109.388	22.913
83.000	24.520
73.333	25.459
59.368	27.084
49.436	29.132
40.796	31.287
34.119	33.444
29.622	35.928
26.126	38.725
23.945	40.954
22.305	43.538
20.052	49.779
19.594	52.352
19.375	56.987
19.557	61.014
20.133	66.695
21.045	71.781
22.015	76.543
23.744	83.244
25.734	90.149
27.943	98.044
29.666	103.348
32.347	111.608
34.033	117.168
36.281	123.840
38.443	131.044
41.771	141.528
44.196	148.879
46.929	158.195
50.121	168.745
51.558	174.806
53.385	181.410
55.843	190.523
56.947	194.754
58.241	199.555
